Timestamp,Do you wish to proceed with your application to the Novum Domitros Parliament?,"Discord Account ID: (User ID, e.g basscleric2187)",Do you understand the expectations of a Member of Parliament and are you prepared to continue with your application to the Novum Domitros Parliament?,What is your full legal name as stipulated in the Official records of Novum Domitros?,What is your age as stipulated in the Official records of Novum Domitros?,What is your Sex?,Region of birth?,Region of Residence?,Area of specialty:,Fields,Tell us about your history and what brought you to this moment
29/03/2025 12:10:20,Yes,bassthefrog,Yes,Bas ton vátracho,30,Male,Portus Region,Novum Centrum Region,Media,,"They used to call him “that frog guy with a mic.” Now they call him Member Vátracho.

Bas ton Vátracho, 30, of the Hellenic community in the Filadan Concave, wasn’t born into power—he broadcasted his way into it. From his first pirate radio stream out of a cramped tower flat in Southern Filadan to becoming one of the most-watched independent journalists in the system, Bas built a legacy not through politics, but platforms.

Unapologetically eccentric, deeply principled, and always online, Bas made his name uncovering corporate coverups, cultural erasure, and the voices buried beneath bureaucracy. He mixed Hellenic folk tunes with digital protest art, gave voice to street-level resistance, and wrapped hard truths in biting satire.

Now a Member of Parliament, Bas stands among academics—not to govern, but to advise, challenge, and shape policy from the lens of communication. He doesn’t hold executive power, but his words can tilt public perception faster than most ministers can draft a bill.

He still signs off his streams the same way he always has:

“Truth ripples. Even in a still pond.”"
29/03/2025 13:35:29,Yes,chancellorpetin,Yes,Alexios Komninos,34,Male,Portus Region,Portus Region,Finance,,"Alexios Komninos, 34, grew up in the Hellenic Quarter of the Filadan Concave, in a small apartment above his family’s grocery shop. While others played outside, Alexios sat at the counter, balancing receipts and calculating margins. He was never loud, never showy—just precise.

He studied finance not for power, but for understanding. To him, every dollar spent told a story. After years working in local co-ops and helping small businesses navigate tricky economic cycles, he caught the attention of the Parliament. Alexios was nominated—not for political ambition, but because people trusted his judgment.

Now a Member of Parliament, Alexios quietly reviews budgets, monitors economic policies, and advocates for transparency and fairness. He speaks plainly, keeps to himself, and still does his own calculations by hand—just to be sure.

He’s not famous. He’s not flashy. But when someone needs the truth behind the numbers, they turn to Alexios."
29/03/2025 14:47:55,Yes,thedoom777581,Yes,Gairos Toberstein,24,Male,Terra Cibus Region,Novum Centrum Region,Security,,"Gairos Toberstein was born in the Terra Cibus Region where he lived with his family in a humble two-story house until the age of 18 where he enlisted in the Army.

At the age of 24 he was recognized for his significant achievements and contributions to the nations security and defense by being appointed to parliament by the Oversight Council, conflicting with his abilities to serve full active duty service Toberstein was granted special authorization to transfer branches from the Army to the Space Navy where he now serves as senior enlisted advisor to the Novum Domitros Parliament hoping to use his skills for the betterment of the Union.

To better serve his position he moved and now resides in the Novum Centrum Region in proximity to the capital city.

Gairos is an avid reclamationist, laboring in the hopes of returning to the former glory of previous interstellar civilization of the likes of the Galactic Federal Alliance believing adamantly that the key to the future of civilization lies in the stars.
"
29/03/2025 19:02:49,Yes,tbone5067,Yes,T-Bone ,33,Male,Trinus Point Region,Novum Centrum Region,Vocational,,"was a tradie, worked as a concreter with me father for as long a ye can remember, now i'm here to speak for tradies yknow "
30/03/2025 00:27:38,Yes,justjoe5083,Yes,Paartin Taalf,36,Female,Visus Primus Region,Visus Primus Region,Entrepreneurial,,"The long-distant descendant of the legendary Razzan Taalf, the Lion Emperor of Visus. Her family is still renowned, but since the age of Industrialization, she has become part of a growing conglomerate of enterprises, all under the name of Taalf Incorporated. She owns multiple factories that specialize in machine parts and steelmaking. She became a member of Parliament through her grandfather Taroll, who was an instrumental member of the Prosperity League. "
30/03/2025 10:46:51,Yes,hxman_ether,Yes,Hauwerd Himlan,42,Male,Lacus Region,Novum Centrum Region,Entrepreneurial,,"Hauwerd Himlan was born to a fledging law agent under himlan, himlan and migorp corp, he frequently types in all undercases and enjoys bottles of fine beverage under the industrial smog. He was appointed to his position soley as a political move of personal undermining within parliamentary politics. Today he resides as a very rich business man under Migorp corp!"
30/03/2025 17:16:29,Yes,wolfgang0186._58424,Yes,Kassius Konstantine,45,Male,Portus Region,Portus Region,Finance,,"The government, nay society has turned to financial ruin. Therefore, I have taken it upon myself to join forces with a party primed and ready to combat the looming debt crisis that has befallen our civilization "
01/04/2025 09:38:31,Yes,modaakk,Yes,Sirius Capella,41,Male,North Lacus Region,Novum Centrum Region,Security,,"Growing up impoverished and struggling shaped me into the man I am today. My childhood was full of strife and the are in which I lived was a poor and high crime location. After eventually finishing my primary and secondary education, I moved to Novum Centrum in order to pursue an education in politics and law. I made my way into parliament and now wish for a safer, more secure future."
01/04/2025 15:30:57,Yes,m6120mmvulcan,Yes,m6120mmvulcan,45,Male,Portus Region,Portus Region,Scholastic,Physics/Chemistry,"Teach engineering in uni, get called to parliament in a ""we need you"" ahh type situation so i join"
23/04/2025 11:39:01,Yes,thetruckboss,Yes,Márc Commercis,60,Male,Novum Centrum Region,Novum Centrum Region,Finance,History/Sociology,
29/04/2025 21:57:13,Yes,kl,Yes,j,l,Male,Novum Centrum Region,Trinus Point Region,Vocational,Physics/Chemistry,
02/05/2025 20:22:54,Yes,carrymepls_1,Yes,Sam Belcher,26,Male,Visus Primus Region,Lacus Region,Finance,Physics/Chemistry,
21/05/2025 10:43:03,Yes,Doctor_shadow,Yes,Takis Tsoulekis,43,Male,Portus Region,Portus Region,Media,Biology/Health/Medicine,
21/05/2025 21:12:46,Yes,doctor_shadow,Yes,Takis Tsoulekis,46,Male,Portus Region,Portus Region,Media,Biology/Health/Medicine,
28/05/2025 07:02:06,Yes,frog_theif,Yes,Morkiteimer  hamburger,35,Male,Terra Cibus Region,Terra Cibus Region,Entrepreneurial,,
31/05/2025 12:04:55,Yes,Shrike Testing,Yes,Test bot,Test bot,Male,Portus Region,Harena Region,Scholastic,Physics/Chemistry,
